Respondent_Serial,brand,OSAT,Food looks appetizing,Has food that tastes good,Has food I crave,Provides the right proportions of ingredients,Has a wide variety of menu options,Offers healthy/better-for-you menu options,Is making changes to improve their food,"Has a unique, distinctive approach that makes food better",Has a wide range of ingredients,Portions are the right size for my appetite,Has good environmental/sustainability practices,Is worth the price,Is something I can afford to eat regularly,Is competitively priced,Is a good value for the money,Has enticing promotional offers,Has a good loyalty program,Employees show care for my food/order,Provides fast service,Ordering is simple and easy,Employees are friendly and engaging,Level of visibility of my food being made,I’m able to make my order exactly how I would like it,Provides a consistent experience,Integrates technology into its ordering process,Food is easy to eat on-the-go,I can easily order for delivery to a location convenient to me,Food prep area is clean and organized,Restaurant is clean,Environment is warm and inviting,Decor is current and modern,Restaurant environment is designed for someone like me,Restaurant has curb appeal,Ingredients are fresh,Ingredients are high quality,Offers good quality meats,Offers good quality veggies and toppings,Uses freshly baked bread,They make me feel valued,Place I am happy to be seen
7347,Panera,6,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,4.0,,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0
7348,Firehouse Subs,7,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,,6.0,4.0,5.0,5.0,4.0,,7.0,6.0,6.0,7.0,7.0,7.0,7.0,,5.0,4.0,6.0,7.0,7.0,6.0,4.0,5.0,7.0,7.0,7.0,6.0,7.0,5.0,7.0
7348,McDonalds,6,5.0,5.0,6.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,,4.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,,,3.0,4.0
7352,Chipotle,2,5.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0
7352,Jimmy Johns,4,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0
7355,Subway,3,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0
7355,Firehouse Subs,4,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0
7366,Chipotle,5,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0
7366,McDonalds,3,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
7382,Subway,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7382,Panera,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7387,Chipotle,7,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0
7387,Firehouse Subs,7,7.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0
7391,Firehouse Subs,6,5.0,6.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,6.0,3.0,4.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0
7391,Jersey Mikes,5,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,3.0,,6.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0
7404,Subway,6,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0
7404,Firehouse Subs,5,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0
7414,Subway,4,5.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7414,McDonalds,6,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0
7415,Subway,6,6.0,7.0,5.0,5.0,6.0,7.0,4.0,3.0,6.0,5.0,6.0,4.0,4.0,4.0,5.0,3.0,,4.0,6.0,7.0,4.0,7.0,7.0,5.0,7.0,7.0,,5.0,5.0,4.0,6.0,6.0,5.0,7.0,6.0,4.0,4.0,6.0,1.0,5.0
7415,McDonalds,5,4.0,4.0,5.0,5.0,6.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,6.0,5.0,4.0,6.0,4.0,3.0,4.0,6.0,2.0,3.0,5.0,4.0,3.0,4.0,,3.0,3.0,3.0,5.0,4.0,6.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0
7418,Chipotle,5,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,,7.0,6.0,,6.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,,6.0,7.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,5.0,6.0
7418,Panera,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7424,Jersey Mikes,5,6.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,3.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0
7424,Jimmy Johns,7,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7427,McDonalds,4,4.0,4.0,4.0,5.0,5.0,,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,,,4.0,5.0,4.0,,6.0,5.0,6.0,6.0,,,,,5.0,5.0,5.0,4.0,3.0,3.0,3.0,,,4.0
7427,Panera,5,7.0,6.0,4.0,6.0,6.0,6.0,,5.0,6.0,6.0,,6.0,3.0,5.0,5.0,,,5.0,5.0,5.0,6.0,5.0,6.0,6.0,,,,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0
7428,Jersey Mikes,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7428,Jimmy Johns,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7429,Chipotle,4,5.0,6.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,,5.0,5.0,6.0,5.0,7.0,7.0,6.0,5.0,2.0,,6.0,6.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0
7429,Jersey Mikes,6,6.0,6.0,4.0,5.0,5.0,4.0,,6.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,4.0,,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,,6.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
7436,Jersey Mikes,5,5.0,7.0,4.0,5.0,5.0,,,,5.0,5.0,,6.0,6.0,6.0,6.0,,,5.0,5.0,6.0,5.0,7.0,6.0,5.0,,6.0,,6.0,6.0,4.0,,5.0,,5.0,5.0,5.0,5.0,6.0,5.0,4.0
7436,Panera,2,4.0,4.0,2.0,,,4.0,,2.0,5.0,,,1.0,2.0,2.0,1.0,,,3.0,,3.0,,3.0,2.0,2.0,4.0,4.0,,,,,,3.0,4.0,3.0,3.0,,4.0,5.0,2.0,
7437,Jersey Mikes,4,2.0,2.0,7.0,5.0,5.0,7.0,3.0,5.0,3.0,4.0,2.0,3.0,6.0,4.0,3.0,7.0,4.0,4.0,7.0,5.0,7.0,7.0,6.0,4.0,6.0,5.0,7.0,6.0,5.0,7.0,7.0,4.0,2.0,4.0,3.0,7.0,3.0,7.0,4.0,6.0
7437,Panera,4,4.0,7.0,2.0,7.0,5.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,,7.0,4.0,7.0,7.0,7.0,5.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,5.0
7450,Chipotle,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7450,Jersey Mikes,6,5.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0
7467,Chipotle,4,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,2.0,2.0,,3.0,2.0,4.0,2.0,4.0,,3.0,5.0,5.0,4.0,5.0,3.0,5.0,,3.0,7.0,,,4.0,3.0,4.0,,4.0,3.0,4.0,3.0,,,
7467,Panera,6,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,4.0,5.0,6.0,5.0,6.0,7.0,,6.0,6.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0
7471,Jersey Mikes,4,5.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0
7471,McDonalds,2,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,,3.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,7.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0
7475,Firehouse Subs,6,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,5.0,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0
7475,Jersey Mikes,6,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,,6.0,7.0,7.0,5.0,7.0,7.0,7.0,6.0,4.0,,7.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0
7477,Subway,3,2.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,1.0,5.0,1.0,1.0,2.0,,1.0,4.0,4.0,2.0,5.0,5.0,2.0,,1.0,6.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,5.0,1.0,
7477,Jersey Mikes,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,,3.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7511,Chipotle,6,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0
7511,Jimmy Johns,6,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0
7531,Firehouse Subs,2,3.0,2.0,3.0,1.0,5.0,3.0,,,5.0,3.0,,2.0,4.0,2.0,3.0,,,2.0,1.0,3.0,1.0,6.0,5.0,2.0,,1.0,,3.0,5.0,4.0,5.0,,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
7531,Jimmy Johns,2,4.0,4.0,3.0,3.0,3.0,4.0,,3.0,3.0,4.0,,4.0,3.0,3.0,4.0,4.0,,5.0,4.0,4.0,4.0,4.0,4.0,5.0,,5.0,,5.0,6.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0
7533,Firehouse Subs,4,4.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,5.0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0
7533,Panera,5,4.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0
7537,Subway,7,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,6.0,4.0,5.0,6.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,5.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,7.0,6.0,7.0
7537,McDonalds,5,4.0,5.0,3.0,4.0,7.0,2.0,,4.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,,,2.0,5.0,6.0,2.0,1.0,7.0,2.0,6.0,5.0,,5.0,2.0,4.0,,,4.0,3.0,4.0,3.0,3.0,,4.0,2.0
7552,Firehouse Subs,5,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0
7552,Jimmy Johns,4,5.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,3.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0
7560,Subway,5,5.0,5.0,4.0,5.0,4.0,5.0,,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,,,6.0,6.0,4.0,6.0,5.0,5.0,5.0,4.0,6.0,,,,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
7560,McDonalds,5,5.0,5.0,4.0,4.0,5.0,4.0,,4.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,,,5.0,6.0,,5.0,5.0,,4.0,5.0,6.0,,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,4.0,4.0
7564,Firehouse Subs,6,6.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,,6.0,4.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,5.0
7564,McDonalds,5,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0
7573,Chipotle,7,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0
7573,Jimmy Johns,7,7.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,5.0,6.0,5.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,5.0
7584,Subway,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7584,McDonalds,7,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,7.0
7586,Chipotle,5,6.0,6.0,5.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0
7586,Panera,6,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0
7602,Jimmy Johns,3,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,,3.0,2.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,,3.0,5.0,4.0,4.0,5.0,,,,,,,3.0,2.0,4.0,4.0,3.0,3.0,
7602,Panera,2,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,1.0
7607,Subway,4,5.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,6.0,5.0,4.0,7.0,5.0,3.0,7.0,4.0,6.0,7.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,6.0,6.0
7607,Jimmy Johns,4,2.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,5.0,3.0,2.0
7615,Jersey Mikes,6,6.0,6.0,3.0,4.0,5.0,3.0,,,6.0,7.0,,5.0,5.0,3.0,5.0,1.0,6.0,4.0,3.0,4.0,5.0,7.0,7.0,6.0,,,7.0,3.0,4.0,6.0,4.0,1.0,,5.0,6.0,6.0,5.0,,3.0,
7615,Panera,2,6.0,5.0,4.0,4.0,6.0,5.0,1.0,4.0,4.0,7.0,,5.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,4.0,,,,,3.0,3.0,6.0,,1.0,4.0,6.0,6.0,5.0,,2.0,3.0
7626,Subway,5,5.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0
7626,Chipotle,4,5.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
7634,Chipotle,5,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,7.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
7634,Firehouse Subs,6,7.0,7.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0
7639,Jersey Mikes,6,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0
7639,Jimmy Johns,6,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0
7642,Subway,6,7.0,7.0,6.0,7.0,7.0,6.0,6.0,4.0,7.0,5.0,6.0,5.0,4.0,6.0,5.0,6.0,4.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0
7642,McDonalds,7,5.0,7.0,5.0,6.0,6.0,4.0,6.0,5.0,7.0,6.0,5.0,4.0,6.0,5.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,5.0,5.0,5.0
7654,Firehouse Subs,4,3.0,5.0,4.0,5.0,5.0,5.0,,5.0,4.0,3.0,,4.0,1.0,4.0,4.0,,,4.0,4.0,5.0,5.0,5.0,5.0,4.0,,3.0,,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0
7654,McDonalds,3,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,,4.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,,3.0,1.0,3.0,3.0,3.0,,2.0,3.0,2.0,4.0,4.0,2.0,2.0
